id,attraction_id,name,score,distance
1,1,"鲁朗纳麦石锅鸡庄园",4.8,22.9
2,1,"艾葳格兰西餐厅",5.0,24.2
3,1,"加拉白垒中餐厅",5.0,24.2
4,1,"鲁朗圣地石锅",4.7,24.4
5,1,"扎西石锅鸡",5.0,22.8
6,1,"盐帮菌王府石锅鸡(鲁朗店)",,22.8
7,1,"桃花韵酒店观景餐厅（索松店）",5.0,6.0
8,1,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
9,1,"林芝工布庄园希尔顿酒店·餐厅",4.1,
10,1,"桃花韵酒店观景餐厅（索松店）",5.0,
11,1,"花音私厨",5.0,
12,1,"小鱼儿食府",5.0,
13,1,"小杨烧烤店",5.0,
14,1,"山泽居度假酒店(林芝机场店)·山泽居接待中心全景餐厅",4.5,
15,2,"鲁朗纳麦石锅鸡庄园",4.8,32.6
16,2,"艾葳格兰西餐厅",5.0,33.7
17,2,"加拉白垒中餐厅",5.0,33.7
18,2,"鲁朗圣地石锅",4.7,33.9
19,2,"扎西石锅鸡",5.0,32.6
20,2,"盐帮菌王府石锅鸡(鲁朗店)",,32.6
21,2,"桃花韵酒店观景餐厅（索松店）",5.0,16.8
22,2,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
23,2,"林芝工布庄园希尔顿酒店·餐厅",4.1,
24,2,"桃花韵酒店观景餐厅（索松店）",5.0,
25,2,"花音私厨",5.0,
26,2,"小鱼儿食府",5.0,
27,2,"小杨烧烤店",5.0,
28,2,"山泽居度假酒店(林芝机场店)·山泽居接待中心全景餐厅",4.5,
29,3,"喜玛拉雅·巴松措酒店餐厅",5.0,4.5
30,3,"巴河鱼庄",4.8,33.5
31,3,"河边鱼庄",,37.2
32,3,"川渝餐厅",4.3,1.7
33,3,"重庆家常风味",5.0,10.7
34,3,"渝味川菜馆",,33.9
35,3,"川渝饭店(沪聂线店)",,40.6
36,3,"喜玛拉雅·巴松措酒店餐厅",5.0,
37,3,"巴河鱼庄",4.8,
38,3,"成都餐厅",4.0,
39,3,"渝味川菜馆",,
40,3,"川渝餐厅",4.3,
41,3,"重庆家常风味",5.0,
42,3,"蜀容饭店",5.0,
43,4,"鲁朗纳麦石锅鸡庄园",4.8,22.2
44,4,"艾葳格兰西餐厅",5.0,23.7
45,4,"啦咧思藏餐厅",4.7,49.6
46,4,"加拉白垒中餐厅",5.0,23.7
47,4,"鲁朗圣地石锅",4.7,23.9
48,4,"扎西石锅鸡",5.0,22.1
49,4,"盐帮菌王府石锅鸡(鲁朗店)",,21.9
50,4,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
51,4,"林芝工布庄园希尔顿酒店·餐厅",4.1,
52,4,"桃花韵酒店观景餐厅（索松店）",5.0,
53,4,"花音私厨",5.0,
54,4,"小鱼儿食府",5.0,
55,4,"小杨烧烤店",5.0,
56,4,"山泽居度假酒店(林芝机场店)·山泽居接待中心全景餐厅",4.5,
57,5,"鲁朗石锅城·松茸天麻石锅鸡",3.8,6.8
58,5,"盐帮菌王府(林芝总店)",4.6,5.8
59,5,"南渝食府.石锅鸡(尚城花园店)",4.9,8.1
60,5,"鲁朗纳麦石锅鸡庄园",4.8,33.1
61,5,"兰心石锅菌王府(林芝佳美花园店)",2.7,5.8
62,5,"艾葳格兰西餐厅",5.0,32.4
63,5,"滋补菌石锅居 松茸石锅鸡",,6.8
64,5,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
65,5,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
66,5,"酸叔老坛酸菜鸡(波密分店)",5.0,
67,5,"南渝食府.石锅鸡(尚城花园店)",4.9,
68,5,"盐帮菌王府(林芝总店)",4.6,
69,5,"圣地卓龙藏家宴",4.9,
70,5,"鲁朗纳麦石锅鸡庄园",4.8,
71,6,"鲁朗石锅城·松茸天麻石锅鸡",3.8,33.5
72,6,"鲁朗纳麦石锅鸡庄园",4.8,12.3
73,6,"南渝食府.石锅鸡(尚城花园店)",4.9,31.8
74,6,"盐帮菌王府(林芝总店)",4.6,32.9
75,6,"艾葳格兰西餐厅",5.0,13.4
76,6,"兰心石锅菌王府(林芝佳美花园店)",2.7,32.2
77,6,"知味轩石锅鸡",4.5,31.5
78,6,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
79,6,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
80,6,"酸叔老坛酸菜鸡(波密分店)",5.0,
81,6,"南渝食府.石锅鸡(尚城花园店)",4.9,
82,6,"盐帮菌王府(林芝总店)",4.6,
83,6,"圣地卓龙藏家宴",4.9,
84,6,"鲁朗纳麦石锅鸡庄园",4.8,
85,7,"平措康桑八宿然乌湖富氧酒店·餐厅",5.0,25.5
86,7,"然乌湖饭庄",4.6,25.2
87,7,"然乌上湖藏餐厅(八宿店)",,25.3
88,7,"云南人家",4.7,25.0
89,7,"燃木齐藏餐厅(八宿店)",4.7,25.2
90,7,"一路香川味鱼庄",4.7,25.1
91,7,"蜀之味火锅",5.0,25.2
92,7,"酸叔老坛酸菜鸡(波密分店)",5.0,
93,7,"圣地卓龙藏家宴",4.9,
94,7,"寓见花园餐厅",3.4,
95,7,"工布石锅(波密分店)",5.0,
96,7,"帅哥餐厅",4.5,
97,7,"仁青客栈",4.8,
98,7,"波密雪叙故里民宿·餐厅",,
99,8,"林芝工布庄园希尔顿酒店·猎味中餐厅",,42.2
100,8,"鲁朗石锅城·松茸天麻石锅鸡",3.8,6.2
101,8,"南渝食府.石锅鸡(尚城花园店)",4.9,3.8
102,8,"盐帮菌王府(林芝总店)",4.6,6.3
103,8,"鲁朗纳麦石锅鸡庄园",4.8,33.9
104,8,"兰心石锅菌王府(林芝佳美花园店)",2.7,5.6
105,8,"艾葳格兰西餐厅",5.0,33.7
106,8,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
107,8,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
108,8,"酸叔老坛酸菜鸡(波密分店)",5.0,
109,8,"南渝食府.石锅鸡(尚城花园店)",4.9,
110,8,"盐帮菌王府(林芝总店)",4.6,
111,8,"圣地卓龙藏家宴",4.9,
112,8,"鲁朗纳麦石锅鸡庄园",4.8,
113,9,"林芝工布庄园希尔顿酒店·猎味中餐厅",,48.4
114,9,"鲁朗石锅城·松茸天麻石锅鸡",3.8,42.4
115,9,"鲁朗纳麦石锅鸡庄园",4.8,28.5
116,9,"南渝食府.石锅鸡(尚城花园店)",4.9,40.1
117,9,"盐帮菌王府(林芝总店)",4.6,42.1
118,9,"艾葳格兰西餐厅",5.0,29.8
119,9,"兰心石锅菌王府(林芝佳美花园店)",2.7,41.4
120,9,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
121,9,"林芝工布庄园希尔顿酒店·餐厅",4.1,
122,9,"桃花韵酒店观景餐厅（索松店）",5.0,
123,9,"花音私厨",5.0,
124,9,"小鱼儿食府",5.0,
125,9,"小杨烧烤店",5.0,
126,9,"山泽居度假酒店(林芝机场店)·山泽居接待中心全景餐厅",4.5,
127,10,"林芝工布庄园希尔顿酒店·猎味中餐厅",,33.8
128,10,"鲁朗石锅城·松茸天麻石锅鸡",3.8,29.7
129,10,"南渝食府.石锅鸡(尚城花园店)",4.9,27.1
130,10,"盐帮菌王府(林芝总店)",4.6,29.8
131,10,"鲁朗纳麦石锅鸡庄园",4.8,34.1
132,10,"兰心石锅菌王府(林芝佳美花园店)",2.7,29.1
133,10,"艾葳格兰西餐厅",5.0,35.0
134,10,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
135,10,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
136,10,"酸叔老坛酸菜鸡(波密分店)",5.0,
137,10,"南渝食府.石锅鸡(尚城花园店)",4.9,
138,10,"盐帮菌王府(林芝总店)",4.6,
139,10,"圣地卓龙藏家宴",4.9,
140,10,"鲁朗纳麦石锅鸡庄园",4.8,
141,11,"桃花韵酒店观景餐厅（索松店）",5.0,46.0
142,11,"鑫隆食府(米林店)",5.0,43.1
143,11,"小鱼儿食府",5.0,43.2
144,11,"花音私厨",5.0,46.0
145,11,"成都食府(墨脱县店)",5.0,5.6
146,11,"鸿发石锅城",,5.8
147,11,"小杨烧烤店",5.0,43.2
148,11,"成都食府(墨脱县店)",5.0,
149,11,"鸿发石锅城",,
150,11,"渝川渝麻辣鲜",4.5,
151,12,"林芝工布庄园希尔顿酒店·猎味中餐厅",,30.0
152,12,"鲁朗石锅城·松茸天麻石锅鸡",3.8,27.0
153,12,"南渝食府.石锅鸡(尚城花园店)",4.9,24.5
154,12,"盐帮菌王府(林芝总店)",4.6,27.3
155,12,"鲁朗纳麦石锅鸡庄园",4.8,37.2
156,12,"兰心石锅菌王府(林芝佳美花园店)",2.7,26.7
157,12,"艾葳格兰西餐厅",5.0,37.9
158,12,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
159,12,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
160,12,"酸叔老坛酸菜鸡(波密分店)",5.0,
161,12,"南渝食府.石锅鸡(尚城花园店)",4.9,
162,12,"盐帮菌王府(林芝总店)",4.6,
163,12,"圣地卓龙藏家宴",4.9,
164,12,"鲁朗纳麦石锅鸡庄园",4.8,
165,13,"酸叔老坛酸菜鸡(波密分店)",5.0,19.7
166,13,"圣地卓龙藏家宴",4.9,20.5
167,13,"寓见花园餐厅",3.4,19.5
168,13,"工布石锅(波密分店)",5.0,19.1
169,13,"帅哥餐厅",4.5,19.9
170,13,"仁青客栈",4.8,4.0
171,13,"波密雪叙故里民宿·餐厅",,18.3
172,13,"酸叔老坛酸菜鸡(波密分店)",5.0,
173,13,"圣地卓龙藏家宴",4.9,
174,13,"寓见花园餐厅",3.4,
175,13,"工布石锅(波密分店)",5.0,
176,13,"帅哥餐厅",4.5,
177,13,"仁青客栈",4.8,
178,13,"波密雪叙故里民宿·餐厅",,
179,14,"酸叔老坛酸菜鸡(波密分店)",5.0,14.6
180,14,"圣地卓龙藏家宴",4.9,15.7
181,14,"寓见花园餐厅",3.4,14.6
182,14,"工布石锅(波密分店)",5.0,14.0
183,14,"帅哥餐厅",4.5,14.9
184,14,"仁青客栈",4.8,10.6
185,14,"波密雪叙故里民宿·餐厅",,13.0
186,14,"酸叔老坛酸菜鸡(波密分店)",5.0,
187,14,"圣地卓龙藏家宴",4.9,
188,14,"寓见花园餐厅",3.4,
189,14,"工布石锅(波密分店)",5.0,
190,14,"帅哥餐厅",4.5,
191,14,"仁青客栈",4.8,
192,14,"波密雪叙故里民宿·餐厅",,
193,15,"林芝工布庄园希尔顿酒店·猎味中餐厅",,40.0
194,15,"鲁朗石锅城·松茸天麻石锅鸡",3.8,15.5
195,15,"南渝食府.石锅鸡(尚城花园店)",4.9,13.1
196,15,"盐帮菌王府(林芝总店)",4.6,15.4
197,15,"鲁朗纳麦石锅鸡庄园",4.8,29.3
198,15,"兰心石锅菌王府(林芝佳美花园店)",2.7,14.7
199,15,"艾葳格兰西餐厅",5.0,29.6
200,15,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
201,15,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
202,15,"酸叔老坛酸菜鸡(波密分店)",5.0,
203,15,"南渝食府.石锅鸡(尚城花园店)",4.9,
204,15,"盐帮菌王府(林芝总店)",4.6,
205,15,"圣地卓龙藏家宴",4.9,
206,15,"鲁朗纳麦石锅鸡庄园",4.8,
207,16,"喜玛拉雅·巴松措酒店餐厅",5.0,5.8
208,16,"巴河鱼庄",4.8,34.3
209,16,"河边鱼庄",,36.0
210,16,"川渝餐厅",4.3,421.0
211,16,"重庆家常风味",5.0,11.7
212,16,"渝味川菜馆",,34.7
213,16,"川渝饭店(沪聂线店)",,39.3
214,16,"喜玛拉雅·巴松措酒店餐厅",5.0,
215,16,"巴河鱼庄",4.8,
216,16,"成都餐厅",4.0,
217,16,"渝味川菜馆",,
218,16,"川渝餐厅",4.3,
219,16,"重庆家常风味",5.0,
220,16,"蜀容饭店",5.0,
221,17,"鲁朗石锅城·松茸天麻石锅鸡",3.8,36.9
222,17,"鲁朗纳麦石锅鸡庄园",4.8,2.2
223,17,"南渝食府.石锅鸡(尚城花园店)",4.9,35.7
224,17,"盐帮菌王府(林芝总店)",4.6,36.0
225,17,"艾葳格兰西餐厅",5.0,3.7
226,17,"兰心石锅菌王府(林芝佳美花园店)",2.7,35.5
227,17,"知味轩石锅鸡",4.5,35.5
228,17,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
229,17,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
230,17,"酸叔老坛酸菜鸡(波密分店)",5.0,
231,17,"南渝食府.石锅鸡(尚城花园店)",4.9,
232,17,"盐帮菌王府(林芝总店)",4.6,
233,17,"圣地卓龙藏家宴",4.9,
234,17,"鲁朗纳麦石锅鸡庄园",4.8,
235,18,"鲁朗石锅城·松茸天麻石锅鸡",3.8,42.5
236,18,"盐帮菌王府(林芝总店)",4.6,42.0
237,18,"南渝食府.石锅鸡(尚城花园店)",4.9,44.9
238,18,"兰心石锅菌王府(林芝佳美花园店)",2.7,42.5
239,18,"滋补菌石锅居 松茸石锅鸡",,42.4
240,18,"知味轩石锅鸡",4.5,45.1
241,18,"易老六跷脚牛肉非物质文化遗产",4.0,41.8
242,18,"喜玛拉雅·巴松措酒店餐厅",5.0,
243,18,"巴河鱼庄",4.8,
244,18,"成都餐厅",4.0,
245,18,"渝味川菜馆",,
246,18,"川渝餐厅",4.3,
247,18,"重庆家常风味",5.0,
248,18,"蜀容饭店",5.0,
249,19,"酸叔老坛酸菜鸡(波密分店)",5.0,14.6
250,19,"圣地卓龙藏家宴",4.9,15.7
251,19,"寓见花园餐厅",3.4,14.6
252,19,"工布石锅(波密分店)",5.0,14.0
253,19,"帅哥餐厅",4.5,14.9
254,19,"仁青客栈",4.8,10.6
255,19,"波密雪叙故里民宿·餐厅",,13.0
256,19,"酸叔老坛酸菜鸡(波密分店)",5.0,
257,19,"圣地卓龙藏家宴",4.9,
258,19,"寓见花园餐厅",3.4,
259,19,"工布石锅(波密分店)",5.0,
260,19,"帅哥餐厅",4.5,
261,19,"仁青客栈",4.8,
262,19,"波密雪叙故里民宿·餐厅",,
263,20,"鲁朗石锅城·松茸天麻石锅鸡",3.8,28.9
264,20,"鲁朗纳麦石锅鸡庄园",4.8,13.5
265,20,"南渝食府.石锅鸡(尚城花园店)",4.9,27.2
266,20,"盐帮菌王府(林芝总店)",4.6,28.3
267,20,"艾葳格兰西餐厅",5.0,14.3
268,20,"兰心石锅菌王府(林芝佳美花园店)",2.7,27.6
269,20,"知味轩石锅鸡",4.5,27.0
270,20,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
271,20,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
272,20,"酸叔老坛酸菜鸡(波密分店)",5.0,
273,20,"南渝食府.石锅鸡(尚城花园店)",4.9,
274,20,"盐帮菌王府(林芝总店)",4.6,
275,20,"圣地卓龙藏家宴",4.9,
276,20,"鲁朗纳麦石锅鸡庄园",4.8,
277,21,"林芝工布庄园希尔顿酒店·猎味中餐厅",,40.0
278,21,"鲁朗石锅城·松茸天麻石锅鸡",3.8,15.5
279,21,"南渝食府.石锅鸡(尚城花园店)",4.9,13.1
280,21,"盐帮菌王府(林芝总店)",4.6,15.4
281,21,"鲁朗纳麦石锅鸡庄园",4.8,29.3
282,21,"兰心石锅菌王府(林芝佳美花园店)",2.7,14.7
283,21,"艾葳格兰西餐厅",5.0,29.6
284,21,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
285,21,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
286,21,"酸叔老坛酸菜鸡(波密分店)",5.0,
287,21,"南渝食府.石锅鸡(尚城花园店)",4.9,
288,21,"盐帮菌王府(林芝总店)",4.6,
289,21,"圣地卓龙藏家宴",4.9,
290,21,"鲁朗纳麦石锅鸡庄园",4.8,
291,22,"鲁朗石锅城·松茸天麻石锅鸡",3.8,36.7
292,22,"鲁朗纳麦石锅鸡庄园",4.8,1.5
293,22,"南渝食府.石锅鸡(尚城花园店)",4.9,35.8
294,22,"盐帮菌王府(林芝总店)",4.6,35.8
295,22,"艾葳格兰西餐厅",5.0,294.0
296,22,"兰心石锅菌王府(林芝佳美花园店)",2.7,35.3
297,22,"知味轩石锅鸡",4.5,35.6
298,22,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
299,22,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
300,22,"酸叔老坛酸菜鸡(波密分店)",5.0,
301,22,"南渝食府.石锅鸡(尚城花园店)",4.9,
302,22,"盐帮菌王府(林芝总店)",4.6,
303,22,"圣地卓龙藏家宴",4.9,
304,22,"鲁朗纳麦石锅鸡庄园",4.8,
305,23,"刚坚丁肉妈妈饭馆",,18.1
306,23,"穆兰牛肉拉面",4.5,44.7
307,23,"喜玛拉雅·巴松措酒店餐厅",5.0,
308,23,"巴河鱼庄",4.8,
309,23,"成都餐厅",4.0,
310,23,"渝味川菜馆",,
311,23,"川渝餐厅",4.3,
312,23,"重庆家常风味",5.0,
313,23,"蜀容饭店",5.0,
314,24,"林芝工布庄园希尔顿酒店·猎味中餐厅",,45.0
315,24,"鲁朗石锅城·松茸天麻石锅鸡",3.8,1.5
316,24,"盐帮菌王府(林芝总店)",4.6,1.5
317,24,"南渝食府.石锅鸡(尚城花园店)",4.9,1.5
318,24,"鲁朗纳麦石锅鸡庄园",4.8,36.1
319,24,"兰心石锅菌王府(林芝佳美花园店)",2.7,988.0
320,24,"艾葳格兰西餐厅",5.0,35.8
321,24,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
322,24,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
323,24,"酸叔老坛酸菜鸡(波密分店)",5.0,
324,24,"南渝食府.石锅鸡(尚城花园店)",4.9,
325,24,"盐帮菌王府(林芝总店)",4.6,
326,24,"圣地卓龙藏家宴",4.9,
327,24,"鲁朗纳麦石锅鸡庄园",4.8,
328,25,"林芝工布庄园希尔顿酒店·猎味中餐厅",,45.0
329,25,"鲁朗石锅城·松茸天麻石锅鸡",3.8,1.5
330,25,"盐帮菌王府(林芝总店)",4.6,1.5
331,25,"南渝食府.石锅鸡(尚城花园店)",4.9,1.5
332,25,"鲁朗纳麦石锅鸡庄园",4.8,36.1
333,25,"兰心石锅菌王府(林芝佳美花园店)",2.7,988.0
334,25,"艾葳格兰西餐厅",5.0,35.8
335,25,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
336,25,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
337,25,"酸叔老坛酸菜鸡(波密分店)",5.0,
338,25,"南渝食府.石锅鸡(尚城花园店)",4.9,
339,25,"盐帮菌王府(林芝总店)",4.6,
340,25,"圣地卓龙藏家宴",4.9,
341,25,"鲁朗纳麦石锅鸡庄园",4.8,
342,26,"鲁朗石锅城·松茸天麻石锅鸡",3.8,36.9
343,26,"鲁朗纳麦石锅鸡庄园",4.8,8.3
344,26,"南渝食府.石锅鸡(尚城花园店)",4.9,35.4
345,26,"盐帮菌王府(林芝总店)",4.6,36.2
346,26,"艾葳格兰西餐厅",5.0,9.7
347,26,"兰心石锅菌王府(林芝佳美花园店)",2.7,35.5
348,26,"知味轩石锅鸡",4.5,35.1
349,26,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
350,26,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
351,26,"酸叔老坛酸菜鸡(波密分店)",5.0,
352,26,"南渝食府.石锅鸡(尚城花园店)",4.9,
353,26,"盐帮菌王府(林芝总店)",4.6,
354,26,"圣地卓龙藏家宴",4.9,
355,26,"鲁朗纳麦石锅鸡庄园",4.8,
356,27,"林芝工布庄园希尔顿酒店·猎味中餐厅",,41.5
357,27,"鲁朗石锅城·松茸天麻石锅鸡",3.8,5.3
358,27,"南渝食府.石锅鸡(尚城花园店)",4.9,2.7
359,27,"盐帮菌王府(林芝总店)",4.6,5.6
360,27,"鲁朗纳麦石锅鸡庄园",4.8,35.6
361,27,"兰心石锅菌王府(林芝佳美花园店)",2.7,5.1
362,27,"艾葳格兰西餐厅",5.0,35.4
363,27,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
364,27,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
365,27,"酸叔老坛酸菜鸡(波密分店)",5.0,
366,27,"南渝食府.石锅鸡(尚城花园店)",4.9,
367,27,"盐帮菌王府(林芝总店)",4.6,
368,27,"圣地卓龙藏家宴",4.9,
369,27,"鲁朗纳麦石锅鸡庄园",4.8,
370,28,"林芝工布庄园希尔顿酒店·猎味中餐厅",,24.7
371,28,"鲁朗石锅城·松茸天麻石锅鸡",3.8,22.5
372,28,"南渝食府.石锅鸡(尚城花园店)",4.9,20.3
373,28,"盐帮菌王府(林芝总店)",4.6,23.2
374,28,"鲁朗纳麦石锅鸡庄园",4.8,44.1
375,28,"兰心石锅菌王府(林芝佳美花园店)",2.7,22.8
376,28,"艾葳格兰西餐厅",5.0,44.5
377,28,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
378,28,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
379,28,"酸叔老坛酸菜鸡(波密分店)",5.0,
380,28,"南渝食府.石锅鸡(尚城花园店)",4.9,
381,28,"盐帮菌王府(林芝总店)",4.6,
382,28,"圣地卓龙藏家宴",4.9,
383,28,"鲁朗纳麦石锅鸡庄园",4.8,
384,29,"林芝工布庄园希尔顿酒店·猎味中餐厅",,44.7
385,29,"鲁朗石锅城·松茸天麻石锅鸡",3.8,1.2
386,29,"南渝食府.石锅鸡(尚城花园店)",4.9,1.4
387,29,"盐帮菌王府(林芝总店)",4.6,1.5
388,29,"鲁朗纳麦石锅鸡庄园",4.8,36.5
389,29,"兰心石锅菌王府(林芝佳美花园店)",2.7,1.2
390,29,"艾葳格兰西餐厅",5.0,36.2
391,29,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
392,29,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
393,29,"酸叔老坛酸菜鸡(波密分店)",5.0,
394,29,"南渝食府.石锅鸡(尚城花园店)",4.9,
395,29,"盐帮菌王府(林芝总店)",4.6,
396,29,"圣地卓龙藏家宴",4.9,
397,29,"鲁朗纳麦石锅鸡庄园",4.8,
398,30,"林芝工布庄园希尔顿酒店·猎味中餐厅",,40.4
399,30,"鲁朗石锅城·松茸天麻石锅鸡",3.8,10.6
400,30,"南渝食府.石锅鸡(尚城花园店)",4.9,8.1
401,30,"盐帮菌王府(林芝总店)",4.6,10.6
402,30,"鲁朗纳麦石锅鸡庄园",4.8,32.0
403,30,"兰心石锅菌王府(林芝佳美花园店)",2.7,9.9
404,30,"艾葳格兰西餐厅",5.0,32.0
405,30,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
406,30,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
407,30,"酸叔老坛酸菜鸡(波密分店)",5.0,
408,30,"南渝食府.石锅鸡(尚城花园店)",4.9,
409,30,"盐帮菌王府(林芝总店)",4.6,
410,30,"圣地卓龙藏家宴",4.9,
411,30,"鲁朗纳麦石锅鸡庄园",4.8,
412,31,"云南丽江腊排汤锅",5.0,17.5
413,31,"飘香川菜馆",5.0,37.4
414,31,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
415,31,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
416,31,"酸叔老坛酸菜鸡(波密分店)",5.0,
417,31,"南渝食府.石锅鸡(尚城花园店)",4.9,
418,31,"盐帮菌王府(林芝总店)",4.6,
419,31,"圣地卓龙藏家宴",4.9,
420,31,"鲁朗纳麦石锅鸡庄园",4.8,
421,32,"鲁朗纳麦石锅鸡庄园",4.8,41.5
422,32,"艾葳格兰西餐厅",5.0,40.9
423,32,"加拉白垒中餐厅",5.0,40.9
424,32,"鲁朗圣地石锅",4.7,40.9
425,32,"扎西石锅鸡",5.0,41.9
426,32,"盐帮菌王府石锅鸡(鲁朗店)",,42.2
427,32,"鲁朗刘氏石锅",4.8,40.9
428,32,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
429,32,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
430,32,"酸叔老坛酸菜鸡(波密分店)",5.0,
431,32,"南渝食府.石锅鸡(尚城花园店)",4.9,
432,32,"盐帮菌王府(林芝总店)",4.6,
433,32,"圣地卓龙藏家宴",4.9,
434,32,"鲁朗纳麦石锅鸡庄园",4.8,
435,33,"林芝工布庄园希尔顿酒店·猎味中餐厅",,25.2
436,33,"鲁朗石锅城·松茸天麻石锅鸡",3.8,28.7
437,33,"南渝食府.石锅鸡(尚城花园店)",4.9,26.3
438,33,"盐帮菌王府(林芝总店)",4.6,29.2
439,33,"鲁朗纳麦石锅鸡庄园",4.8,42.0
440,33,"兰心石锅菌王府(林芝佳美花园店)",2.7,28.6
441,33,"艾葳格兰西餐厅",5.0,42.7
442,33,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
443,33,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
444,33,"酸叔老坛酸菜鸡(波密分店)",5.0,
445,33,"南渝食府.石锅鸡(尚城花园店)",4.9,
446,33,"盐帮菌王府(林芝总店)",4.6,
447,33,"圣地卓龙藏家宴",4.9,
448,33,"鲁朗纳麦石锅鸡庄园",4.8,
449,34,"林芝工布庄园希尔顿酒店·猎味中餐厅",,13.5
450,34,"扎西德勒藏餐馆",,6.1
451,34,"林芝工布庄园希尔顿酒店·餐厅",4.1,13.9
452,34,"土碗香酸汤牦牛肉(米林店)",4.5,6.0
453,34,"山泽居度假酒店(林芝机场店)·山泽居接待中心全景餐厅",4.5,12.8
454,34,"米林依云若雅民宿·餐厅",,29.2
455,34,"林芝工布庄园希尔顿酒店·热嘎全日餐厅",5.0,13.9
456,34,"林芝工布庄园希尔顿酒店·猎味中餐厅",,
457,34,"鲁朗石锅城·松茸天麻石锅鸡",3.8,
458,34,"酸叔老坛酸菜鸡(波密分店)",5.0,
459,34,"南渝食府.石锅鸡(尚城花园店)",4.9,
460,34,"盐帮菌王府(林芝总店)",4.6,
461,34,"圣地卓龙藏家宴",4.9,
462,34,"鲁朗纳麦石锅鸡庄园",4.8,
